band,barrier_free,capacity,card,charter,child,course,credit_card,english,free_drink,free_food,horigotatsu,karaoke,ktai_coupon,lat,lng,lunch,midnight,non_smoking,parking,party_capacity,pet,private_room,show,tatami,tv,wifi,budget.code,genre.code,large_area.code,large_service_area.code,middle_area.code,service_area.code,small_area.code
0,1,30,1,0,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,34.99963679,135.7668778,1,1,2,0,20,0,0,0,0,0,1,3500,創作料理,Z022,SS20,Y432,SA22,X430
0,0,60,1,0,2,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,0,0,1,0,1,35.00426327,135.7696704,1,0,2,0,26,0,1,0,1,0,0,2500,和食,Z022,SS20,Y432,SA22,X430
0,0,62,1,1,2,1,"[V,M,A,D,J,G]",1,1,1,0,0,1,35.00544952,135.7693432,0,0,2,0,62,0,0,0,0,0,1,2500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,80,1,1,1,1,"[V,M,A,D,J]",0,1,0,0,0,1,35.0033096,135.774172,0,0,1,0,32,0,1,0,0,0,0,4500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,40,1,0,1,1,"[V,M,A]",1,1,0,0,0,0,35.0039527,135.7673923,1,1,2,0,20,0,0,0,0,0,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,56,1,0,2,1,"[V,M,A,J]",0,1,1,0,0,0,35.0035178,135.769681,1,0,2,0,56,0,0,0,0,0,0,2500,和食,Z022,SS20,Y432,SA22,X430
0,0,40,1,0,1,1,"[V,M,A,J,G, {'code': 'c12', 'name': 'Discover'}]",0,1,0,0,0,0,35.00194243,135.7697452,1,0,2,0,40,0,0,0,1,0,未確認,3500,和食,Z022,SS20,Y432,SA22,X430
0,0,30,0,1,2,1,,1,1,0,0,0,0,35.02703511,135.769028,1,0,2,1,35,0,0,0,1,0,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,25,1,0,1,1,"[V,M,A,D,J]",1,0,0,0,0,0,35.00511457,135.7699279,1,0,2,0,15,0,1,0,0,0,0,8500,和食,Z022,SS20,Y432,SA22,X430
0,0,120,1,0,2,1,"[V,M,A,J]",0,1,1,0,0,0,35.00121832,135.768502,1,0,2,1,120,0,1,0,0,0,0,3500,中華,Z022,SS20,Y432,SA22,X430
0,0,78,1,1,1,1,"[V,M,A,J]",0,1,0,1,0,0,35.00450993,135.7704042,0,0,2,0,54,0,1,0,0,0,1,3500,和食,Z022,SS20,Y432,SA22,X430
0,0,70,0,0,1,1,,0,0,0,0,0,0,35.00228656,135.769741,0,0,2,0,40,0,0,0,0,0,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
